,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
5005,Kevin Henkes,Family Life,,Fiction,William Morrow,"November 14, 2004",,144,,"September 19, 2015",,,,,,
5006,J. K. Rowling,Fantasy,Magic and Fantasy,Fiction,Scholastic Inc.,"June 21, 2003",,870,"Paperback, Audiobook (unabridged), Hardback, Kindle","December 05, 2019",Mary Grandpre,,"ALA Best and Notable Books, Common Sense Media Award",,,
5007,Meagan Spooner,Fantasy,"Magic and Fantasy, Book Characters, Brothers and Sisters, Cats, Dogs, and Mice, Fairy Tales, Monsters, Ghosts, and Vampires, Wild Animals",Fiction,HarperTeen,"March 14, 2017",13 - 17,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
5008,Steven Gould,Science Fiction,"Sports and Martial Arts, Friendship, High School, Misfits and Underdogs, Science and Nature",Fiction,Tor Books,"January 8, 2013",,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 02, 2016",,,,,,
5009,Lois Duncan,Mystery,,Fiction,,"January 1, 1981",,235,,"November 15, 2019",,,,,,
5010,Evan Kuhlman,Science Fiction,Robots,Fiction,Atheneum,"May 1, 2012",9 - 12,304,,"July 13, 2017",Iacopo Bruno,,,,,
5011,Dan Wetzel,Biography,"Sports and Martial Arts, Great Boy Role Models",Non-Fiction,"Henry Holt & Company, Inc.","May 14, 2019",8 - 12,160,"Paperback, Hardback, iBooks, Kindle","February 10, 2020",Zeke Peña,,,,,
5012,Sarah J. Maas,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship",Fiction,Bloomsbury USA,"May 10, 2018",,229,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 18, 2018",,,,,,
5013,Julie Fogliano,Picture Book,"Adventures, Brothers and Sisters, Friendship, Science and Nature",Fiction,Roaring Brook Press,"May 1, 2018",3 - 6,48,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Lane Smith,,,,,
5014,Adam Rex,Picture Book,"Friendship, Great Boy Role Models",Fiction,Roaring Brook Press,"June 28, 2016",4 - 8,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Christian Robinson,,,,,
5015,Alan Gratz,History,"Book Characters, Friendship, Great Boy Role Models, Great Girl Role Models, History, Misfits and Underdogs",Fiction,Scholastic Press,"October 15, 2019",11 - 14,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 11, 2019",,,,,,
5016,Eric Litwin,Picture Book,"Cats, Dogs, and Mice, Music and Sing-Along, Numbers and Letters",Fiction,Harper,"May 1, 2012",3 - 7,32,"Nook, Hardback, iBooks, Kindle","June 19, 2019",James Dean,,,,,
5017,William Joyce,Sports,Sports and Martial Arts,Fiction,HarperFestival,"February 1, 1999",,16,,"September 29, 2015",William Joyce,,,,,
5018,Judy Schachner,Picture Book,"Magic and Fantasy, Brothers and Sisters, Cats, Dogs, and Mice",Fiction,Dutton Children's Books,"July 12, 2011",4 - 8,32,,"July 13, 2017",,,,,,
5019,Natalie C. Anderson,Mystery,"Brothers and Sisters, Friendship, Great Girl Role Models",Fiction,G.P. Putnam's Sons,"January 24, 2017",13 - 18,432,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
5020,Margaret Stohl,Science Fiction,"Friendship, Misfits and Underdogs, Science and Nature, Space and Aliens",Fiction,"Little, Brown Books for Young Readers","May 7, 2013",12 - 17,428,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
5021,Jon Krakauer,Biography,,Non-Fiction,Anchor Books,"January 19, 1997",15 - 17,224,,"June 19, 2019",,,,,,
5022,Brian Floca,Picture Book,,Fiction,Atheneum,"March 6, 2007",,48,,"September 29, 2015",Brian Floca,,,,,
5023,Adam Silvera,Contemporary Fiction,"Friendship, High School",Fiction,Soho Teen,"January 17, 2017",14 - 18,294,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5024,Marjorie Liu,Graphic Novel,"Magic and Fantasy, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Wild Animals",Fiction,IMAGE,"July 19, 2016",,235,"Paperback, Nook, Hardback, iBooks, Kindle","December 13, 2019",Sana Takeda,,,,,
5025,,Fantasy,"Magic and Fantasy, Friendship, Misfits and Underdogs",Fiction,Arthur A. Levine,"July 31, 2016",9 - 12,320,"Nook, Hardback, iBooks, Kindle","November 27, 2019",,"J. K. Rowling, John Tiffany, Jack Thorne",,,,
5026,John Flanagan,Fantasy,"Princesses, Fairies, Mermaids, and More, Adventures, Horses and Farm Animals, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Philomel,"November 29, 2016",10 - 17,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 22, 2019",,,,,,
5027,Don Freeman,Picture Book,"Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Penguin Group,"April 11, 1968",,32,,"March 04, 2020",Don Freeman,,,,,
5028,Jennifer Banash,Coming of Age,"High School, Misfits and Underdogs",Fiction,Putnam Juvenile,"April 4, 2013",,304,"Nook, Hardback, Kindle","September 16, 2015",,,,,,
5029,Eileen Christelow,Board,"Brothers and Sisters, Wild Animals",Fiction,Clarion Books,"September 13, 2011",4 - 8,40,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",Eileen Christelow,,,,,
5030,William Ritter,Fantasy,"Magic and Fantasy, History, Monsters, Ghosts, and Vampires",Fiction,Algonquin Young Readers,"September 16, 2014",12 - 15,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","August 06, 2019",,,,,,
5031,Justina Ireland,Historical Fiction,"Friendship, History",Fiction,Balzer + Bray,"April 3, 2018",12 - 18,464,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5032,Cynthia Kadohata,Historical Fiction,"Brothers and Sisters, History",Fiction,Atheneum/Caitlyn Dlouhy Books,"May 14, 2019",10 - 14,416,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 04, 2020",,,,,ALA Best and Notable Books,
5033,Rodman Philbrick,Historical Fiction,,Fiction,Blue Sky Press,"January 1, 2009",8 - 12,224,,"June 19, 2019",,,,,Newbery Medal and Honors,
5034,Sayantani DasGupta,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Book Characters, Brothers and Sisters, Fairy Tales, Great Girl Role Models, Middle School, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Ocean Creatures, Space and Aliens",Fiction,Scholastic,"February 26, 2019",8 - 12,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Vivienne To,,,,,
5035,Tomie dePaola,Holiday,,Fiction,Aladdin,"October 6, 2009",4 - 8,32,,"July 13, 2017",Tomie dePaola,,,,,
5036,Carolyn Keene,Mystery,,Fiction,Grosset & Dunlap,"May 1, 1930",9 - 12,192,,"June 19, 2019",,,,,,
5037,Jack Prelutsky,Picture Book,,Fiction,"Farrar, Straus and Giroux","May 10, 2007",3 - 6,32,,"July 12, 2017",Christine Davenier,,,,,
5038,Janni Lee Simner,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More",Fiction,Random House,"January 20, 2009",12 - 16,247,,"July 18, 2018",,,,,,
5039,William Steig,Humor,,Fiction,HarperFestival,"January 1, 2000",2 - 4,32,,"July 12, 2017",William Steig,,,,,
5040,Eoin Colfer,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Science and Nature, Wild Animals",Fiction,Disney-Hyperion,"July 10, 2012",10 - 13,352,"Paperback, Audiobook (unabridged), Hardback, iBooks, Kindle","July 29, 2019",,,,,,
5041,Sharon Creech,Family Life,,Fiction,HarperCollins Children's Books,"September 25, 2005",,211,,"March 01, 2017",,,,,,
5042,Ryan North,Graphic Novel,"Superheroes, Adventures, Friendship, Great Girl Role Models",Fiction,Marvel,"September 1, 2015",13 - 18,128,"Paperback, Nook, Kindle","July 13, 2017",Erica Henderson,,,,,
5043,Rick Yancey,Science Fiction,"Adventures, Brothers and Sisters, Friendship, High School, Space and Aliens",Fiction,Putnam Juvenile,"May 7, 2013",,480,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5044,Jane Simmons,Picture Book,,Fiction,"Little, Brown and Company","January 1, 1998",,18,,"September 24, 2015",Jane Simmons,,,,,
5045,Dr. Seuss,For Beginning Readers,,Fiction,Random House,"January 1, 1970",2 - 4,28,,"July 23, 2018",Dr. Seuss,,,,,
5046,John Steinbeck,Folklore,,Fiction,Penguin Group,"February 28, 1993",,96,,"July 15, 2015",,,,,,
5047,Leigh Bardugo,Fantasy,"Magic and Fantasy, Adventures, Friendship, Misfits and Underdogs",Fiction,"Henry Holt & Company, Inc.","September 27, 2016",12 - 17,560,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5048,Dugald A. Steer,Fantasy,,Fiction,Candlewick Press,"October 30, 2005",8 - 12,78,,"July 12, 2017",Wayne Anderson,,,,,
5049,Fran Manushkin,Holiday,,Fiction,Scholastic Inc.,"October 1, 2007",,32,,"September 23, 2015",Robin Spowart,,,,,
5050,,Fantasy,"Magic and Fantasy, Sports and Martial Arts, Friendship, Misfits and Underdogs",Fiction,Granity,"March 19, 2019",,608,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","January 27, 2020",,"Kobe Bryant, Wesley King",,,,
5051,Nina LaCour,Literary Fiction,"Book Characters, Friendship, Great Girl Role Models",Fiction,Dutton Books,"February 14, 2017",,234,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 26, 2020",,,,,ALA Best and Notable Books,
5052,Tahereh Mafi,Fantasy,"Magic and Fantasy, Adventures, Friendship, Misfits and Underdogs",Fiction,Dutton Children's Books,"August 30, 2016",9 - 12,416,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 14, 2018",,,,,,
5053,Varsha Bajaj,Coming of Age,"Activism, Friendship, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,Nancy Paulsen Books,"August 27, 2019",10 - 14,172,"Paperback, Nook, Audiobook (unabridged), iBooks, Kindle","September 20, 2019",,,,,,
5054,Kate Messner,Coming of Age,"Cooking and Baking, STEM, Sports and Martial Arts, Adventures, Bugs, Friendship, Great Girl Role Models, Middle School",Fiction,Bloomsbury Children's Books,"February 4, 2020",10 - 12,240,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 28, 2020",,,,,,
5055,Jonathan London,Picture Book,,Fiction,Harcourt Brace,"April 1, 2000",4 - 7,32,,"July 12, 2017",Michael Rex,,,,,
5056,Joelle Charbonneau,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters",Fiction,HarperTeen,"June 6, 2017",,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5057,Christine Kendall,Family Life,"Friendship, Horses and Farm Animals, Misfits and Underdogs",Fiction,Scholastic Press,"October 11, 2016",10 - 14,224,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5058,Rick Riordan,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Great Boy Role Models, Great Girl Role Models, Monsters, Ghosts, and Vampires",Fiction,Hyperion Books for Children,"May 1, 2012",9 - 11,416,,"December 20, 2019",,,,,,
5059,Alan Moore,Science Fiction,,Fiction,DC Comics,"April 1, 1995",15 - 17,416,,"July 22, 2019",Dave Gibbons,,,,,
5060,William Joyce,Picture Book,,Fiction,Laura Geringer Books,"March 25, 2007",4,40,,"July 12, 2017",William Joyce,,,,,
5061,Dan Gemeinhart,Adventure,Friendship,Fiction,,"January 23, 2015",8 - 12,240,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
5062,Hendrik Willem van Loon,History,,Non-Fiction,W. W. Norton & Co.,"January 1, 1921",12 - 14,674,,"July 12, 2017",Hendrik Willem van Loon,,,,Newbery Medal and Honors,
5063,Jack White,Picture Book,"Bugs, Great Boy Role Models, Great Girl Role Models, Numbers and Letters",Fiction,Third Man Books,"November 22, 2017",5 - 6,32,Hardback,"August 03, 2018",Elinor Blake,,,,,
5064,Jessie Sima,Picture Book,"Magic and Fantasy, Adventures, Ocean Creatures",Fiction,Simon & Schuster Books for Young Readers,"March 6, 2018",4 - 8,48,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Jessie Sima,,,,,
5065,Marissa Meyer,Fantasy,"Magic and Fantasy, Sports and Martial Arts, Superheroes, Misfits and Underdogs, Puppets",Fiction,Feiwel & Friends,"November 7, 2017",12 - 18,576,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5066,Rachel Cohn,Family Life,,Fiction,Simon & Schuster,"November 29, 2003",8 - 12,137,,"July 12, 2017",,,,,,
5067,Shelby Bach,Fantasy,"Magic and Fantasy, Adventures, Book Characters, Fairy Tales, Friendship, Great Girl Role Models",Fiction,Simon & Schuster Books for Young Readers,"July 23, 2014",8 - 12,336,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5068,Karen Hesse,Historical Fiction,,Fiction,Scholastic Inc.,"March 6, 2004",9 - 12,161,,"July 12, 2017",,,,,,
5069,Scott Westerfeld,Science Fiction,"Adventures, Brothers and Sisters, Misfits and Underdogs, Robots",Fiction,Scholastic Press,"September 11, 2018",12 - 18,416,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5070,Sandra Cisneros,Coming of Age,,Fiction,Vintage Books,"April 9, 1991",12 - 17,128,,"November 15, 2019",,,,,,
5071,Ellen Hopkins,Poetry,,Fiction,Simon & Schuster,"October 1, 2004",14,544,,"June 19, 2019",,,,,,
5072,Ame Dyckman,Picture Book,"Book Characters, Friendship, Great Girl Role Models, Wild Animals",Fiction,,"April 5, 2016",3 - 6,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Zachariah OHora,,,"Little, Little, Brown Books for Young Readers",,
5073,Catherine Clark,Family Life,,Fiction,HarperTeen,"March 25, 2008",12,224,,"June 19, 2019",,,,,,
5074,Meg Cabot,Coming of Age,,Fiction,HarperTeen,"July 31, 2007",12,272,,"July 12, 2017",,,,,,
5075,Marcus Sedgwick,Coming of Age,"Adventures, Misfits and Underdogs",Fiction,Roaring Brook Press,"April 22, 2014",12 - 17,224,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5076,Louis Sachar,Adventure,,Fiction,"Farrar, Straus and Giroux","May 9, 2000",9 - 12,233,"Paperback, Audiobook (unabridged), Hardback, Kindle","February 10, 2020",,,,,Newbery Medal and Honors,
5077,K.E. Ormsbee,Fantasy,"Brothers and Sisters, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Chronicle Books,"August 28, 2018",8 - 12,344,"Nook, Hardback, iBooks, Kindle","November 18, 2018",,,,,,
5078,Cathleen Daly,Family Life,"Arts and Dance, Brothers and Sisters, Great Girl Role Models",Fiction,Roaring Brook Press,"June 17, 2014",4 - 7,56,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Lisa Brown,,,,,
5079,Tommy Wallach,Contemporary Fiction,"Brothers and Sisters, Friendship, High School",Fiction,Simon & Schuster Books for Young Readers,"March 24, 2015",14 - 17,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
5080,Garth Nix,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Great Girl Role Models, Monsters, Ghosts, and Vampires",Fiction,Harper,"October 4, 2016",12 - 17,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5081,Danielle Svetcov,Contemporary Fiction,"Activism, Cooking and Baking, Book Characters, Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,Dial Books,"February 4, 2020",10 - 14,400,"Nook, Audiobook (unabridged), Hardback, Kindle","February 07, 2020",,,,,,
5082,Gene Zion,For Beginning Readers,,Fiction,HarperCollins Children's Books,"October 6, 1976",,32,,"September 23, 2015",Margaret Bloy Graham,,,,,
5083,Gigi Levangie,Contemporary Fiction,High School,Fiction,Blue Rider Press,"October 17, 2013",,256,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 15, 2019",,,,,,
5084,Kate Messner,For Beginning Readers,"Adventures, Book Characters, Great Boy Role Models",Fiction,Chronicle Books,"May 5, 2015",5 - 8,32,"Hardback, iBooks, Kindle","June 19, 2019",Mark Siegel,,,,,
5085,Gary D. Schmidt,Coming of Age,"Sports and Martial Arts, Brothers and Sisters, Middle School",Fiction,Clarion Books,"February 5, 2019",10 - 18,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","May 23, 2019",,,,,,
5086,Adam Gidwitz,Fairy Tale,"Magic and Fantasy, Adventures, Book Characters, Brothers and Sisters, Fairy Tales",Fiction,,"October 8, 2013",10 - 17,368,"Nook, Hardback, iBooks, Kindle","January 31, 2020",,,,,,
5087,Fred Hiatt,Adventure,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models, History",Fiction,Delacorte Press,"April 9, 2013",12 - 17,256,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
5088,Emily Gravett,Picture Book,,Fiction,Simon & Schuster,"May 22, 2007",,32,,"March 18, 2019",Emily Gravett,,,,,
5089,Bonnie Shimko,Horror,,Fiction,Amazon Children's Publishing,"March 26, 2013",12 - 17,230,"Audiobook (unabridged), Hardback, Kindle","July 13, 2017",,,,,,
5090,Marie Lu,Fantasy,"Magic and Fantasy, Adventures, Friendship, Misfits and Underdogs",Fiction,Putnam Juvenile,"October 7, 2014",12 - 17,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 19, 2017",,,,,,
5091,Neal Shusterman,Science Fiction,"Sports and Martial Arts, Friendship, Misfits and Underdogs",Fiction,Simon & Schuster,"November 22, 2016",12 - 17,435,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5092,Erin Morgenstern,Fantasy,Magic and Fantasy,Fiction,Doubleday,"September 13, 2011",,390,,"November 04, 2019",,,,,,
5093,Dr. Seuss,For Beginning Readers,,Fiction,Random House,"January 1, 1974",4 - 7,28,,"July 12, 2017",Quentin Blake,,,,,
5094,Clive Cussler,Fantasy,,Fiction,Penguin Group,"March 19, 2006",,167,,"September 20, 2015",William Farnsworth,,,,,
5095,Julia Alvarez,Historical Fiction,"History, Misfits and Underdogs",Fiction,Alfred A. Knopf,"February 15, 2004",12,167,,"July 12, 2017",,,,,,
5096,Rebecca Dickinson,Holiday,,Fiction,Chronicle Books,"August 19, 2009",3 - 7,36,,"July 13, 2017",S. Britt,,,,,
5097,Allen Kurzweil,Fantasy,,Fiction,HarperCollins Children's Books,"August 3, 2004",,302,,"September 01, 2015",Bret Bertholf,,,,,
5098,Donna Jo Napoli,Historical Fiction,,Fiction,Wendy Lamb,"March 10, 2009",,288,,"July 16, 2015",,,,,,
5099,Lincoln Peirce,Humor,Friendship,Fiction,"Andrews McMeel Publishing, LLC","October 19, 2010",8 - 12,224,"Paperback, Nook, iBooks, Kindle","June 19, 2019",Lincoln Peirce,,,,,
5100,Katherine Applegate,Picture Book,"Friendship, Science and Nature, Wild Animals",Non-Fiction,Clarion Books,"October 7, 2014",4 - 8,40,"Nook, Hardback, Kindle","June 19, 2019",G. Brian Karas,,,,,
5101,Jenna Evans Welch,Romance,"Adventures, Friendship, High School",Fiction,Simon Pulse,"May 3, 2016",,400,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
5102,Useni Eugene Perkins,Poetry,"Great Boy Role Models, Great Girl Role Models, History",Fiction,"Little, Brown Books for Young Readers","November 14, 2017",5 - 8,40,"Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Bryan Collier,,,,,
5103,Tonya Bolden,Biography,,Non-Fiction,Knopf,"December 28, 2004",,40,,"September 18, 2015",,,,,,
5104,Cecil Castellucci,Coming of Age,Brothers and Sisters,Fiction,Roaring Brook Press,"May 22, 2012",12 - 17,192,,"July 13, 2017",Nate Powell,,,,,
5105,Neil Gaiman,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Fairy Tales, Great Girl Role Models",Fiction,,"September 22, 2015",10 - 18,64,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Chris Riddell,,,,,
5106,Jess Brallier,Emotions,,Fiction,HarperCollins Children's Books,"August 25, 2009",4 - 8,32,,"June 19, 2019",Peter H. Reynolds,,,,,
5107,Chris Colfer,Fantasy,"Magic and Fantasy, Adventures, Book Characters, Brothers and Sisters, Fairy Tales, Friendship",Fiction,Litt,"July 11, 2017",8 - 12,448,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Brandon Dorman,,,,,
5108,Elisa Kleven,Picture Book,"Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters",Fiction,Puffin,"May 1, 1998",3 - 5,40,"Paperback, Hardback","July 13, 2017",Elisa Kleven,,,,,
